FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
0,muslumseven,Baykan,Demirel,korkmazalpgulen@example.org,+1-208-676-5374x4929,2002,7,17,M,79416,Schroeder Isle Lights,New Troystad,Mississippi,28268,NZ,-44.39672,171.25364,TR043440784830225514528767,047855616,767067871.491503,NZD,134.60.80.207,-44.826238634308865,170.55996073002365,Because apply population decide.,dhuang,Bobby,Bilgin,phillip71@example.net,(977)754-6527,1952,7,4,M,1933,Frank Pines Fields,West Alpcan,Michigan,91935,DE,51.21667,6.26667,TR617125159464027053188750,073262341,1441201606.637917,EUR,12.41.116.247,51.48096318544173,5.749857792490892,Include knowledge military bit team last.,d85d098d-d256-4286-bc80-08cfabf2e8d6,1714680106.323875,1749636771.918835,COMPLETED,PAYMENT,0.5864,1.7052,17646431.99,10347867.72
0,lisasmith,Jessica,Buck,apaydintevetoglu@example.com,+90(695)099-0123x6495,1993,4,5,M,8288,Dumanlı Knolls Valley,Cevheriberg,New Mexico,88013,IN,20.88098,75.11937,GB59HCXI53261693223484,062724434,710977296.934642,INR,28.187.100.184,21.52081446542578,75.18110538469048,Repellat totam perspiciatis laudantium incidunt.,ggul,Dennis,Jones,sehamet07@example.com,0158 697 04 34,1993,6,28,NB,0808,Temirhan Well Landing,East Shaun,Wisconsin,97509,AU,-27.50578,153.10236,TR234118836153362203909568,100373462,1699250906.278076,AUD,55.239.23.167,-27.23367878881333,154.02658637811405,Ten father situation energy lay sit idea.,3a42ff6e-3f87-4559-8071-f9ec54978d50,1722634758.350023,1749636770.85908,PENDING,PAYMENT,0.0203,49.1538,15953177.24,323849.5
0,erica45,Zachary,Zengin,kimberly12@example.org,0792 560 88 09,1980,3,26,NB,471,Tuğrulhan Forest Creek,Mooreport,Montana,39339,HK,22.37066,114.10479,TR736218524421978613907674,023272912,1504906153.864489,HKD,221.122.0.98,23.196431524771878,113.36366626661084,Husband sometimes dark hit design.,mirayergul,Safet,Gülen,wilcoxantonio@example.com,745 7 894,1950,4,9,F,07900,Hodges Haven Square,Bethside,South Dakota,34822,CN,24.28859,116.11768,TR185815843064859155137804,127080110,1561141199.741675,CNY,193.225.51.33,24.70807037019536,116.42984109320601,Vero ea reiciendis aut quae itaque.,b5f19167-5ec2-40cc-8ce1-42341a23e6fa,1722345423.833624,1749636769.934684,CANCELLED,PAYMENT,0.8768,1.1405,13693837.13,12006756.4
0,tacnursafak,Mark,Arslan,bkaradeniz@example.com,336 2 453,1992,10,17,F,36053,Henderson Gateway Crossing,Şenerstad,Massachusetts,46715,IN,12.25282,79.41727,GB42SSRU20542203445651,126408997,872361585.213247,INR,51.132.140.248,12.939221864523667,79.4041770700905,Voluptatem quo culpa tenetur eum facere sunt.,lori54,Michael,Yıldırım,mdurmus@example.org,(510)877-2089x0012,1980,2,24,M,35478,Brown Spring Pine,Ömriyeport,Georgia,26958,NZ,-38.65333,178.00417,TR732490877125513687971281,091207469,1524586036.618379,NZD,153.206.198.34,-38.53774360963154,178.50632966389455,Distinctio ab perferendis laborum necessitatibus.,58414172-d977-4a4f-9be8-3887dc412530,1589498096.484764,1749636774.695254,FAILED,PAYMENT,0.0214,46.8305,12327695.79,263812.69
0,bihsanoglu,Öngen,Ertaş,sezertevs@example.org,001-589-552-3835x09199,1971,6,10,M,7976,Faize Village Mews,Bakerstad,Colorado,33537,DE,52.53048,13.29371,GB18AHNK70005374915419,080864172,1473564212.613189,EUR,72.1.108.178,51.97203868403821,12.55394789094997,Laboriosam odit numquam temporibus quaerat dicta ex enim.,onsal17,Hürmet,Scott,tyrone20@example.net,0878-161 2770,1982,3,6,NB,93503,Bişar Knolls Plaza,North Önsalborough,California,05643,GB,53.0233,-1.48119,TR623533650167628571715463,093751696,1566856031.388388,GBP,23.182.107.18,52.4792868599897,-0.9767506563372994,Earum nostrum mollitia nesciunt adipisci corrupti dolorem.,86ef69f6-2553-4c4d-871c-977a0daad855,1602833988.85304,1749636771.589253,CANCELLED,PAYMENT,0.8981,1.1135,16254447.61,14598119.4
0,ergultasvir,Nevsal,Dunlap,campbellmark@example.com,+1-820-934-2310x93646,1948,4,4,F,1973,David Mountain Shoal,North Brandon,California,94900,GB,51.42708,-0.91979,GB44SXLG36559666015790,032405372,1590237689.13808,GBP,163.229.61.60,50.437581632457814,-0.21685509960490446,Give western each significant mission similar.,berdogan,Elamiye,Yılmaz,rodriguezjesus@example.org,714.364.6274,1964,4,19,M,5422,Tarhan Turnpike Squares,New Annaside,New York,86669,CA,46.1351,-60.1831,GB75OMOW64571819929866,017539823,910709582.377391,CAD,102.142.1.76,46.829370412608085,-60.18728235845772,Libero impedit voluptates tempore atque beatae.,5b4bef0a-e27b-4792-8ac8-c706beaf5392,1604353653.730438,1749636768.666098,CANCELLED,PAYMENT,1.7343,0.5766,17419628.02,30210860.88
0,lindamorales,Duruk,Sutton,kasif26@example.org,937.370.1792x09279,1956,2,29,NB,641,Veronica Valley Inlet,Jacksontown,Florida,25156,KR,36.20389,127.08472,GB57UHWL87218343729821,119263343,514504493.759269,KRW,61.43.18.26,35.94192264559386,127.72931757109939,Task window visit show civil name modern.,jchoi,Philip,Hurst,semine66@example.com,001-814-379-6111,1983,8,17,F,7812,Buyrukhan Center Dale,Akarhaven,Iowa,51522,DE,52.61131,13.31783,GB04TVJK02143619299614,089707492,1573345707.297391,EUR,181.143.69.153,53.16353978254577,12.893854111552658,Mollitia optio rem nobis fugit mollitia.,ffcf8c77-1d60-4011-b1fa-ac605a41e9e9,1627021413.560724,1749636771.162711,FAILED,PAYMENT,0.0008,1278.225,17947102.18,14357.68
0,dwright,Douglas,Mansız,servertarhan@example.org,+1-523-783-2494x8290,1976,6,27,NB,402,Mansız Harbors Fall,New Şahatmouth,Illinois,92866,JP,35.30889,139.55028,TR728317403767340246807945,022486136,1403719560.963719,JPY,203.74.7.219,35.268999537606874,139.27230421001246,Away fear ahead arrive news peace reason.,alabezekertas,Brent,Karadeniz,zesparza@example.com,04163662448,2003,4,7,NB,33641,İsak Village Camp,Sherrifort,Alabama,21482,GB,57.47908,-4.22398,GB31FCQM57878948481764,049463433,1033469117.404071,GBP,72.239.165.127,56.58822882867411,-5.116982772347437,Include company watch most imagine.,efa1b495-59e0-41e8-869e-c3d57d87e97a,1689137975.931828,1749636774.373661,PROCESSING,PAYMENT,0.0072,139.2566,13358347.93,96180.11
0,oakdeniz,Cheryl,Lee,derekgonzalez@example.org,+90(424)382-5198x436,1975,12,6,M,6139,Martinez Dam Harbors,Şöhretside,Minnesota,84675,GB,51.65,-0.2,GB60PAOB24716652052093,089471074,488805318.215111,GBP,210.178.147.228,51.129853910413864,0.663828469666675,Necessitatibus placeat accusantium nihil maxime iure.,aperez,Atnan,İnönü,meyhanim46@example.com,(887)857-9322,1962,9,28,M,568,Uluman Manors Cove,Port Hayret,California,13792,AU,-33.79176,151.08057,GB59QTFZ83181757101129,027821974,1416682373.792919,AUD,208.146.207.112,-33.03147617391383,151.1906747899577,Quasi minima possimus vitae illum delectus magnam ab.,0fc9669f-ed25-4abe-a845-07dbfab837d6,1486719855.054862,1749636767.109998,FAILED,PAYMENT,1.809,0.5528,17079843.49,30897436.87
0,rpowell,Gülsevil,Yılmaz,elvanmansiz@example.net,(976)885-1211x9301,1992,1,24,M,80236,Özpetek Bridge Tunnel,Markbury,Minnesota,83596,TR,38.37255,34.02537,TR653798290731633377027426,100719916,508938646.710503,TRY,176.10.94.176,38.47337639700662,34.13634953780537,Qui alias id corporis doloribus aliquid quia.,nebih89,Âlemşah,Yıldırım,adam21@example.org,899-867-6689x574,1965,3,2,M,0493,Kısakürek Valleys Grove,Duranside,Delaware,71267,CN,33.78333,114.51667,GB13BDDI37191104847548,020439826,1006304437.556733,CNY,163.177.102.21,34.06403984637579,114.40386398517438,Earum molestiae illum natus. Sint eos omnis.,db3b2d52-e80f-4eb9-b1fc-42e93dca8786,1089311317.998784,1749636774.879391,PENDING,PAYMENT,1.2892,0.7757,17070156.11,22006845.26
