FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
0,zenginguneri,Niğmet,Watson,shelley20@example.net,0691-798 2035,1970,12,11,NB,1972,Arslan Extensions Square,Önsalstad,South Dakota,38356,AU,-34.28853,146.05093,GB15NWVY81299266407778,035347385,891257649.913165,AUD,35.218.253.200,-33.32709681436424,146.69392826732968,Deserunt doloremque nemo saepe mollitia consectetur.,ryan87,Lutfi,Öcalan,calti00@example.com,0990-287 3476,1964,12,27,M,0259,Arziye Rue Circles,New Zamirton,Delaware,45235,MX,19.32889,-99.32556,GB50YJSP46219539451630,104839151,1332930174.508709,MXN,90.254.104.125,19.610405788559554,-100.09626896758243,Service try education.,ab633dd6-ae87-448b-adf3-40cd16d26877,1471959408.948239,1749637009.773428,FAILED,PAYMENT,13.8141,0.0724,13866131.59,191548128.4
0,robert02,Julie,Zorlu,yreynolds@example.org,001-968-981-7948x9559,1970,10,29,NB,29783,Daniel Loop Ways,South Ümmahan,Mississippi,69172,KR,36.82167,128.63083,GB25HSAU18855322803726,044103772,1729484608.617506,KRW,32.153.182.157,36.93050468015146,128.0228920785495,Others they into fight whatever. Eight economy class drive.,kisakurekcelem,Isaac,Mccarthy,hartsteve@example.net,(616)031 8187,1979,11,21,M,0574,Karadeniz Hill Skyway,Demirelport,Mississippi,79959,NZ,-44.39672,171.25364,TR926094453312035696631302,022681465,783096037.539605,NZD,40.55.34.55,-44.398114914306106,170.94299710764886,Coach source year response research billion product.,c44f7a37-5c04-40bf-b052-976d8e4584a1,1738108552.068956,1749637008.243335,COMPLETED,PAYMENT,0.0013,749.5822,13217753.9,17183.08
0,onguyen,Biltaş,Çamurcuoğlu,nebiha55@example.net,+90(944)0478176,1955,5,5,F,54844,Şuayp Via Light,Joshuaview,Tennessee,68714,US,47.64995,-117.23991,TR939591322255232056957074,034186136,1057241263.02095,USD,181.19.21.1,48.345080320123124,-117.62282736032394,Omnis nisi animi perferendis vero ut ipsam.,snyderamy,Müslum,Lawrence,dturk@example.net,587 8 650,2003,11,20,NB,10437,Sezgin Trail Ports,Lake Eric,Illinois,18592,US,30.16688,-96.39774,GB45LVFI46572480648882,107065728,1023752552.278263,USD,212.122.98.3,30.24603851700231,-95.44270300657277,Watch southern guy why field during.,e793a784-3e90-4228-b0f6-74937395bf6f,1746878124.580221,1749637008.252007,COMPLETED,PAYMENT,1.0,1.0,15496039.2,15496039.2
0,nataliehogan,Aybora,Middleton,basokkisakurek@example.com,394 4 008,1955,4,28,F,4776,Arsoy Spring Forks,Lake Sevlamouth,Hawaii,88337,RU,56.9083,60.8019,GB44RKIC69230034101442,085394948,1643745871.493678,RUB,99.247.183.48,57.68710145046615,60.56942684744973,Blood act can show man.,esmith,Kete,Durdu,robertmueller@example.org,+90(912)157-5309x995,1993,7,24,M,903,Yaman Lodge Heights,Debramouth,Arkansas,07172,US,39.09112,-94.41551,TR922231104187239428636524,074344394,539022444.853767,USD,61.136.211.222,38.91369365094999,-94.22470664936773,Sea second soldier suffer exist something low.,967661f9-d31b-44fa-b3cd-2b2a2818f70d,1710902192.526289,1749637012.537452,PENDING,PAYMENT,0.0144,69.6259,14742937.2,212298.3
1,harbinazsafak,Kutun,Washington,gutierreztamara@example.net,001-757-802-7345,1994,11,4,F,7090,Barnes Camp Cliffs,East Amybury,Indiana,24267,AU,-33.79176,151.08057,TR890699036865172997744618,093715962,1247917296.671944,AUD,7.140.212.40,-42.60884253626868,-124.30421534540675,Compare development drop happen from.,rhondahoward,William,Tevetoğlu,patricia75@example.com,(695)628-1362,1984,6,19,NB,47881,Gülüs Stravenue Fort,Çetinside,Hawaii,42974,IN,18.87813,72.93924,GB11QATF18498335355771,065354746,1575033526.797807,INR,82.39.4.220,-50.269408372433425,-65.07972180639216,Quia nostrum debitis error aperiam modi alias.,97709e2a-438c-4975-9252-9378799333e7,1609741923.006811,1749637010.695237,FAILED,PAYMENT,49.1538,0.0203,13320186.28,654737772.37
0,yhancer,Sidar,Lloyd,husnuhalsafak@example.net,0092-289 3796,1971,7,7,NB,88824,Lopez Via Haven,Perinurport,Colorado,70336,HK,22.37066,114.10479,TR572234778091832877652307,099048219,531622517.799824,HKD,213.72.32.186,23.327134494366213,113.27578640374138,Exist similar cold fine hour interview coach.,fkemp,Mihrab,Sezgin,dtran@example.org,+1-643-635-2315x95314,1948,11,23,F,28320,Ortiz Spurs Cliffs,West Meghanchester,Iowa,56306,RU,58.04254,65.27258,TR851531871384940954820249,111412927,1294843926.755662,RUB,28.173.225.11,57.23013117504803,65.40424081479341,Toward no upon agency smile own myself.,6449d45f-0d61-48ee-8113-271e98c158e5,1432968962.638335,1749637007.896687,PENDING,PAYMENT,8.8884,0.1125,13584267.38,120742402.18
1,soyluoguzman,Minibe,Fırat,nurcandemir@example.com,(463)914-4434x5042,2002,6,19,F,83732,Soylu Estate Walk,Lawrenceberg,Arizona,71307,CN,37.30553,120.82747,TR588573824654344555570900,041377213,1519081786.658333,CNY,122.209.71.80,26.664636409208796,-99.19905875693863,Teach spring gun nice concern little knowledge front.,nicolescott,Hailey,Dumanlı,pamelawood@example.com,+90(187)380-2876x918,1946,9,9,M,16658,Sydney Rapids Wall,Morrisland,California,40651,NZ,-44.39672,171.25364,GB97UZGM14351820826722,044522900,1375118384.018894,NZD,200.186.153.141,24.49106117898811,-120.94860806656222,Air that often interest hope.,68e2164d-7459-4727-8199-d63f80d1625f,1568192097.965027,1749637010.197718,PENDING,PAYMENT,0.2173,4.601,12244043.96,2660630.75
0,deanna58,Fadıla,Türk,martinroger@example.net,784 4 913,1950,11,4,F,43001,Akçay Oval Walks,Shelleyfort,Arkansas,80063,MX,17.94979,-94.91386,GB73SCLY13074837384711,124905641,1634826145.224662,MXN,198.100.127.115,17.518107949766488,-95.11630027068882,Country care treatment picture former down pull.,yjackson,Leah,Sakarya,andrecole@example.net,00173443938,1956,6,10,F,4990,Yıldırım Motorway Grove,Pattersonside,Mississippi,10488,AU,-33.79176,151.08057,GB98JHCL30435695117731,103923534,1664921629.85618,AUD,100.134.23.232,-33.94352214140827,150.1143004017757,Now example best manage tell seat whole two.,387081ba-0f0d-49ec-a2b5-08f812301c96,1747386826.014476,1749637013.966943,FAILED,PAYMENT,0.0724,13.8141,14265635.14,1032831.98
1,gkoch,Michael,Arsoy,sfirat@example.org,+1-719-341-7361x8259,1979,8,12,F,6671,Sezer Centers Lodge,Lisabury,Arkansas,99824,ZA,-24.19436,29.00974,TR092945495927597151319341,104305300,1429429435.367805,ZAR,72.13.211.179,-45.864698821400644,116.68361714143158,Iste est debitis ullam perferendis optio.,arslanezgutekin,Evrimer,Hebert,smiththomas@example.com,(005)829 0558,1951,4,5,M,86195,Ramos Glen Branch,South Şamiha,South Carolina,36360,DE,48.49144,9.20427,GB20VZCJ81286222933755,129695561,502917043.345435,EUR,104.129.241.64,-70.04049549457204,-121.31010782541676,Month community all program especially win adult air.,0a0a06fb-2ac0-43ee-893c-6ac070b5c923,1705403544.47968,1749637006.754592,CANCELLED,PAYMENT,0.0607,16.4834,14054825.26,853127.89
1,jennifer85,Tandoğdu,Ortiz,samanthataylor@example.com,+90(006)131-8616x7497,1959,2,12,M,5205,Fenni Rapid Harbor,West Jessica,Vermont,28916,FR,48.86667,2.08333,GB49EDZZ28383151914669,097884734,965857291.509836,EUR,195.114.246.156,87.36743682963603,-54.08346817707039,Alias aut at occaecati magni quod.,akcayozkent,Melissa,Şensoy,porterbrian@example.net,0088-028 8560,1960,9,21,NB,96127,Yağızkurt Lake Corner,Chelseahaven,Maryland,64237,TR,38.5824771,39.396179,GB53XZFV41249022412977,024000905,983113095.172794,TRY,119.139.18.117,69.40152550981266,-6.593426828716929,Save forward option meet seat. Example record deal pattern.,09c73bb1-7273-4661-8e6c-43a62afe6138,1642435759.493837,1749637013.599907,PROCESSING,PAYMENT,6.0859,0.1643,13241878.73,80588749.76
