FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
0,ehardin,Azettin,Spence,maynardmaria@example.org,+90(797)208-5316x9573,1970,1,29,NB,3274,Eraslan View Harbor,Babaville,Texas,33777,KR,36.20389,127.08472,GB89JQXD00123354382551,063120901,1392453090.543907,KRW,154.18.33.202,36.81221171186559,126.6052464176986,Parent day save entire amount best southern.,torresmary,Selâtin,Mansız,william35@example.org,576 2 409,1966,5,25,M,5952,Yılmaz Mount Trail,North Cihandide,Iowa,57917,CA,42.8334,-80.38297,GB94GGEI08104338630862,109528755,892748800.974433,CAD,197.218.125.116,43.35748773092303,-79.49408130295657,Sea my glass left six. May seven kid interview price.,8f70ec0b-ed20-42ba-b3f4-811ab58ecd56,1656951740.929504,1749678419.074465,COMPLETED,PAYMENT,0.0012,820.6375,19317255.89,23180.71
0,lawrencemoore,Amanda,Çorlu,gabrielle73@example.net,+1-949-521-7504x31278,1989,5,24,M,0698,Ertaş Place Stravenue,Port Franciscoshire,California,98506,JP,44.35056,142.45778,GB06QBPO76975816819884,129975061,1045634546.490857,JPY,114.225.70.115,44.775892448343505,143.20792575239713,Assumenda optio quos itaque.,gulbozbag,Noman,Duran,blara@example.net,740-539-7363,1992,11,14,M,809,Yurdaser Knolls Plain,East Gülmisalton,California,26782,RU,53.53395,33.72798,TR845356223471033233996404,062585631,741129091.444099,RUB,149.160.19.138,52.8863661887744,34.64180542808684,Pariatur itaque aperiam eveniet numquam.,5d92a013-186b-4980-8b6c-e1a41fa981bf,1489750383.528177,1749678418.254133,FAILED,PAYMENT,0.636,1.5724,19419723.35,12350944.05
1,garzagabriel,Sencar,Henry,whiteheadgina@example.com,001-493-650-2603x3780,1946,2,27,NB,6868,Wilson Falls Station,Blackside,Georgia,86369,JP,33.4425,129.96972,GB22TXPU48995118703583,015454447,754922628.962969,JPY,79.164.124.20,66.81981114731246,-167.89008575043184,Cum occaecati error exercitationem.,perryjames,Kelly,Adams,qarsoy@example.com,0515 305 89 73,1987,11,12,NB,398,Şafak Groves Mall,Şermanland,Hawaii,54781,TR,40.1675,34.37389,GB98ASYC95470772872908,124615478,559341595.069612,TRY,219.146.202.143,82.2009575557527,-44.99949586491792,Whatever name let listen. Meeting major middle sit follow.,56ff78f2-711b-400e-9d26-2880a7086f02,1701249772.336315,1749678418.796421,COMPLETED,PAYMENT,0.0487,20.55,19915400.43,969880.0
1,akgunduzgokcil,Holly,Ertaş,beyda21@example.com,672-766-0799x145,1992,8,21,F,958,Gül Trail Ferry,Jessicahaven,Pennsylvania,92969,FR,48.8765,2.18967,TR386573597020859946033086,016680207,581525480.542017,EUR,126.209.119.99,6.59502509398996,15.825213253995315,Voluptas facere et. Earum vel quaerat voluptate.,inonugulaga,Hekmet,İhsanoğlu,carrie22@example.com,(600)893-7063x03760,1954,10,21,NB,626,Thomas Stravenue Tunnel,Finleymouth,Colorado,71429,JP,43.82634,144.09638,GB24RBBJ89286702199484,096512489,1343277223.69523,JPY,10.76.85.227,-47.445505102154335,166.36891964659225,Between better seem imagine return.,ebc02b44-604c-4d94-a3a8-0f06b2ea7a4d,1748073485.038426,1749678422.379306,CANCELLED,PAYMENT,125.065,0.008,13915665.8,1740362743.28
1,jennifer88,Tuğtaş,Hançer,melissahogan@example.com,790-612-5119,1973,5,19,M,4164,Güverçin Road Spurs,Samanthamouth,Ohio,59251,AU,-37.9,145.18333,TR822516228004411380267462,026360957,884143146.049489,AUD,59.254.183.96,-68.48957990535644,46.95029516101866,Eaque voluptatum voluptates voluptatibus.,ergulzerafet,Sarah,Wallace,ensari00@example.org,866-758-9711,1971,12,17,F,1970,Sandra Camp Spur,Lake Cangürland,North Carolina,57676,JP,34.4833,136.84186,GB44HYEG77479941452794,100053931,1458295965.730486,JPY,135.17.113.175,74.29826948237466,149.61128643925815,Neque facere consectetur labore eius.,d6de9345-a386-49c2-9f83-5e86679a6750,1559953519.884535,1749678420.558921,FAILED,PAYMENT,76.9797,0.013,17525098.75,1349076844.25
0,scole,Nursim,Olson,brooke09@example.net,3355101608,2001,6,3,M,722,Gilbert Station Station,Eraslanville,West Virginia,71164,IN,10.58806,77.24779,TR874268035272727193478364,112239471,1225077956.000418,INR,111.73.97.222,9.631812222419892,78.13278000004854,Reiciendis consequatur numquam nihil.,konguralptevetoglu,Alison,Gülen,williamsimmons@example.net,055 9 562,1954,1,13,NB,2333,Aybora Circles Course,East Ünübol,Vermont,49417,BR,-17.74431,-48.62789,TR582686231769556539534859,077263197,1433693773.21666,BRL,205.218.79.74,-18.02178709554076,-49.530115733955995,Never whom believe beyond. Score other value begin.,33574cd3-67d8-40bc-8463-6b7d2e96b0fd,1674669835.135362,1749678417.696937,CANCELLED,PAYMENT,0.0553,18.0735,17270577.1,955062.91
0,diana19,Katrina,Alemdar,lmoore@example.org,+90(981)3757673,1984,8,27,NB,451,Gonzalez Lights Greens,Bezekborough,Washington,15168,RU,55.63711,37.38115,GB84YTRY84288514506088,101708942,1005524900.245074,RUB,125.14.108.55,67.54431427867085,-83.35876982092215,Camera form ability. East wife energy draw consumer.,zdemir,Lucas,Castro,aslanmukbile@example.org,+90(997)460-6228x5014,1987,1,20,F,47356,Mucahit Course Drives,Kimstad,Wyoming,60849,TR,37.0611756,37.3793085,TR533074413699044675055309,048390743,526354624.409315,TRY,102.165.77.0,84.27524325673335,-3.7893039437786626,Foreign ball practice cost its. Money hour sea day.,250fce86-3681-4ff6-9383-37e96868cd6b,1265353793.057567,1749678420.67749,COMPLETED,PAYMENT,0.0765,13.0691,14950431.9,1143708.04
1,yorucduran,Heva,Sezer,tarhanjaruthip@example.org,01906563541,1962,2,25,M,080,Coleman Motorway Rapid,Lake Miranda,Virginia,39841,NZ,-38.65333,178.00417,TR122884280112063933157231,063303016,677076886.853327,NZD,75.16.121.94,-65.1887713065384,-107.88269380147936,Together go son direction. College piece husband drive.,savni84,Avşin,Foley,turkozgur@example.com,(605)454-4443,1993,8,21,M,44502,Akdeniz Plaza Field,Ilgıhaven,Alabama,90277,MX,20.22816,-103.5687,GB68KYPZ58010950716203,116884644,795331097.770291,MXN,138.82.50.21,-83.88291008522167,126.65564342846864,Despite Republican company. Already often have easy.,0d250ec3-03ed-40c2-99cd-f16ba2546c74,853828073.033776,1749678423.008455,PENDING,PAYMENT,13.1612,0.076,11902855.07,156655856.15
0,karabas50,Erin,Durdu,robinchandler@example.net,(500)874-9359x86966,1956,6,17,F,769,Zorlu Ports Overpass,North Aliabbasside,Pennsylvania,31576,CN,24.28859,116.11768,GB70CQPV79143914729080,086231958,1635908780.463777,CNY,174.153.54.118,24.059571079517283,117.05192073869655,Think person push personal.,caltibilir,Mecide,Wang,gabriel51@example.org,635-588-9110,1953,12,4,NB,90197,Matthew Rapid Shoals,West Tracy,Wisconsin,11128,DE,49.97704,9.15214,TR746762041066134286402847,096206928,1680504608.07767,EUR,12.180.81.87,50.745258141752565,8.769493733803664,Sint sunt in voluptatum.,ad16653d-2bec-49ee-a884-57983ba6d8f7,1696699727.322278,1749678416.946473,CANCELLED,PAYMENT,0.1275,7.8458,17443398.36,2224033.29
0,duruk03,İlim,Aksu,syoung@example.net,+90(536)059-4360x6965,1996,2,2,F,95833,Çakar Shoal Overpass,East Ernestbury,Delaware,74825,TR,39.22493,42.85693,GB55XGFS45714455106760,038141148,954396432.905395,TRY,74.84.223.138,38.811625611879414,43.609209443878434,Maiores unde laboriosam explicabo.,yasattinmansiz,Sergio,Kidd,lergul@example.com,900-751-0129x6038,1945,2,20,M,53885,Mccarthy Villages Mews,Yertanbury,Delaware,01575,RU,54.90083,38.07083,GB46DXBN07858543346547,036356867,1220003866.774201,RUB,115.67.216.219,55.211524289381394,38.787579600345644,Arrive agree report travel wife cell. Within way over rise.,42ee4f63-01b7-417d-854b-d3513b1d1c73,1417105374.683661,1749678423.500352,PENDING,PAYMENT,13.0691,0.0765,14472694.17,189145087.38
