FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
0,seneralparslan,Brenda,Stanton,bryan63@example.org,0211 657 76 51,1952,11,9,NB,87165,Stephens Lodge Turnpike,North Shelbyhaven,Kansas,07046,DE,48.35149,8.96317,GB40RXXA18102194989083,118052199,1462968177.128667,EUR,147.126.137.134,48.90085758478135,8.10310994113303,Illum harum magni at autem dolorum.,erenalpihsanoglu,Angel,Gül,camurcuogluagakisi@example.org,+90(784)359-7683x1976,1999,8,18,F,0419,Walker Point Squares,Graymouth,Michigan,35565,BR,-22.53722,-42.98194,TR983872724197803039470657,055571885,477936404.00786,BRL,146.86.226.238,-22.841618491353262,-43.921606824465265,Dolores maxime natus officia error.,cb303501-7b29-48b0-8cbe-97358b19c271,1733577235.911213,1749636762.520639,COMPLETED,PAYMENT,4.4185,0.2263,15352937.88,67836956.02
0,chudson,Michael,Banks,petersonnicholas@example.org,09405587118,1977,9,15,NB,78615,Justin Point Hollow,Isaiahfort,North Carolina,49677,RU,58.04254,65.27258,TR873177909606542872880064,066107992,862825029.369833,RUB,196.138.87.94,57.50176308184486,64.36043534196108,Future benefit clearly any even many around travel.,ginamorales,Özdil,İnönü,zeridetevetoglu@example.com,(566)580-4415,1987,11,23,F,904,Şafak Ports Pass,Tevetoğluberg,South Carolina,37098,NL,51.65333,5.2875,TR342921013274664391618906,034914515,1240672882.190668,EUR,76.156.3.9,51.13088957225799,4.690586786938689,Century high different important plant majority everyone.,11da20aa-e556-4c7b-94a3-e63f60efdaf3,1279446772.248136,1749636761.936797,COMPLETED,PAYMENT,0.0126,79.5371,17569857.04,221380.2
0,cameron19,Jacob,Tevetoğlu,nicole58@example.com,02603270530,1970,10,13,M,7190,Algış Crossroad Meadow,Kristenchester,Missouri,83587,CA,45.4473,-73.75335,GB36NKEL24553201729190,070529537,955752078.87534,CAD,60.69.251.79,46.0297755530326,-74.21304496491601,Now defense past need challenge.,husnuhal26,Crystal,Yaman,mancoyilma@example.org,7837879899,1945,9,13,F,408,Carlson Vista Island,New Lindachester,Maryland,30619,HK,22.37066,114.10479,GB54PLEO87208234710359,018775084,1705790112.470384,HKD,111.62.144.155,22.45268418884657,113.84865402901858,At porro accusamus laudantium asperiores voluptate debitis.,9446ed53-2a31-4f59-a464-c1e7d47f4f8f,1739649815.762963,1749636760.512567,PROCESSING,PAYMENT,5.745,0.1741,13187608.96,75762813.48
0,sefer30,Diken,Zengin,taksu@example.org,034 8 784,1971,7,2,M,73491,Baydu Pine Fall,New Tamara,Illinois,86059,IN,28.71271,77.656,TR622270502161891648015799,038639537,600747388.145803,INR,172.219.244.115,28.05184652525306,76.84963227690166,Draw church across these control increase party while.,davidellis,Michael,Durdu,masidezorlu@example.net,0390-763 3425,1954,8,10,M,5294,Safura Summit Curve,Port İkiz,Kansas,73718,FR,44.80477,-0.59543,TR149124963543894626012645,036334012,1642406247.656723,EUR,10.52.21.205,44.642609815654524,-1.055169838155662,Facilis impedit deserunt.,910b5a2c-05ea-4ac2-a1c8-e9ce49a58842,1714106228.33194,1749636765.070386,FAILED,PAYMENT,0.0125,79.8577,16635752.96,207946.91
0,robert23,Gözel,Bell,buluncakgunduz@example.net,+1-592-577-4011x42136,1959,7,11,NB,7489,Demir Square Streets,Ünlenborough,Connecticut,52061,AU,-37.9,145.18333,TR523597427515249029565008,026878258,535158912.489216,AUD,78.145.94.140,-37.79903928426984,145.87332043664992,Know short lead billion.,scopeland,John,Hobbs,bcorlu@example.com,(976)743-4618x761,1955,3,6,F,6344,Durmuş Fall Lodge,South Johnhaven,Kentucky,23421,DE,49.03685,8.70745,TR307197357755307223766809,106078282,1360663818.657346,EUR,116.16.212.154,48.74580179884081,9.364190341917482,Reprehenderit cum consequuntur accusamus.,1d0d81ba-4793-44c3-96e2-151900d17005,1549673237.724078,1749636762.540026,FAILED,PAYMENT,0.6155,1.6246,14175335.68,8724919.11
0,seanberry,Scott,May,cinonu@example.net,246-589-5717,1993,3,14,NB,8990,Andre Island Course,Sezginfort,Hawaii,50777,NL,52.57583,6.61944,TR385305002324593796271196,084929068,855926077.325628,EUR,186.128.224.31,51.68349426141468,5.778916058656965,When then help prepare part.,xerdogan,Marie,Türk,dwaters@example.net,299-696-0002x9313,1953,9,28,M,81141,Denizalp Ranch Forks,Kimberlyview,Iowa,15821,ZA,-27.76952,30.79165,GB92FZOI55406981945747,021791563,503759530.87436,ZAR,199.139.196.28,-26.78761876297654,31.268357796201116,Actually within program enough spring system election.,9ca0ef07-46d7-4b23-a431-00fe824f8f59,1510097223.01095,1749636759.868316,CANCELLED,PAYMENT,16.4834,0.0607,16705188.6,275358305.77
0,bilirhusmen,Rebecca,Demir,arcanarslan@example.net,08316566768,1961,10,18,F,453,Eric Ville Garden,Lake Brianview,Missouri,32874,RU,59.80917,30.38167,GB68ILQW17423947226318,011349721,610130746.474324,RUB,91.23.22.0,59.50578209859652,29.489726856310387,Illum harum explicabo. Incidunt qui ducimus illo.,ckisakurek,Michael,Zorlu,angelabean@example.com,001-759-724-7813x471,1950,4,4,NB,75817,Çorlu Key Island,Lake Ümmetland,Michigan,74119,CN,40.85158,122.74754,GB51VUOS18811317908366,056123630,1443836723.094665,CNY,217.171.155.15,39.96509211505632,123.18913723570196,Iusto illo et recusandae dolor deleniti quos.,8a630fe2-0df7-49cf-9c64-698cc6b0a1a8,1724255587.066551,1749636762.950209,PROCESSING,PAYMENT,0.0986,10.1375,17630387.82,1738356.24
0,cokankoruturk,Necmettin,Bates,raymond23@example.org,001-717-784-6299x749,1957,12,16,M,81623,Bektaşi Spring Crescent,New Robert,New York,04360,BR,-25.42944,-50.00639,GB28YDKY60531905597356,118570901,1097658629.257528,BRL,220.135.96.213,-24.531096019759882,-49.31212227826872,Inventore voluptatum sequi earum illo eius deleniti.,diken86,Lauren,Cooke,lcetin@example.com,(382)924 9163,1980,5,7,NB,044,Raymond Mountains Street,Lake Joshuaburgh,Wisconsin,35299,JP,44.35056,142.45778,TR689400489909019800584193,066580140,1028730523.903028,JPY,44.94.208.159,44.496538760906176,142.6807959248598,Optio veritatis aut quaerat in facilis in.,fb808e7d-8abf-4ce7-9165-9618e12db6fc,1171550838.361592,1749636765.676437,COMPLETED,PAYMENT,28.3049,0.0353,16662811.11,471639202.19
0,belindahamilton,Eric,Miller,gulderyildirim@example.com,00286474816,1974,10,18,NB,42326,Fleming Island Estate,Kingchester,Washington,03578,GB,57.14369,-2.09814,TR181646517913477825289820,031736644,1381564278.355744,GBP,169.40.150.238,57.831856759500816,-1.6561068483453134,Right material feeling machine.,catherinemiller,Andrea,Jensen,uclarke@example.org,+90(240)659-5007x500,1953,8,26,F,8924,Michele Way Causeway,New Pamelaberg,Tennessee,89207,US,41.16704,-73.20483,GB46HZLW04739913842325,021084940,1152667028.692756,USD,166.175.21.146,40.98109760096149,-73.62939383255222,Yet a central check nature.,98574eba-8bf0-4999-9560-59188cb26c40,1475572571.392158,1749636758.629593,COMPLETED,PAYMENT,1.272,0.7862,17978670.87,22868869.35
0,esenbay24,Sandra,Manço,holdenmichael@example.org,(473)327-4810x9536,1965,1,19,M,2147,Aksu Club Loop,Sawyerbury,Mississippi,31665,NL,51.95838,4.47124,TR925209206875709872053197,025020939,1448597701.66209,EUR,187.80.83.23,52.18653087398344,4.364251333922086,Their short company we center never.,qmullen,Charles,Bright,thompsondonald@example.org,001-603-203-6088,1954,2,20,M,69390,Çamurcuoğlu Plain Mills,North Diken,Rhode Island,52368,RU,51.40944,46.04833,GB33LBQK30897138515214,119788682,604436576.037008,RUB,186.208.86.143,52.163039645441934,46.37266056879833,Voluptatem temporibus rerum occaecati totam quos tempore.,22f37c2b-b65e-4b9b-bc70-d1484b4d25c8,1588320021.32293,1749636765.578116,PENDING,PAYMENT,79.5371,0.0126,12070889.44,960083540.48
