FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
1,adviyeyilmaz,Bailey,Sherman,bentonjohnny@example.com,452.496.1323,1954,5,21,NB,3631,Barrera Wells Center,Elizabethshire,Texas,75332,DE,52.47774,10.5511,TR689532673268549669698811,041141766,971392946.79406,EUR,195.106.68.199,62.69141360996782,68.9481838637698,Saepe sunt ad aliquid aspernatur error.,ashley98,Şerafeddin,Fırat,jaybyrd@example.net,+90(962)805-1708x7313,1947,3,10,M,4955,Mukbile Mission Stravenue,Akçaport,Wyoming,67677,KR,36.82167,128.63083,TR686953236690610797511358,064609434,1011947441.804207,KRW,14.10.199.232,46.95036078636529,172.43210745464813,Maiores architecto non temporibus deserunt voluptatibus.,0dd7143c-aa3d-49e2-8482-fed5034d72fd,1040448099.099897,1749639175.925226,CANCELLED,PAYMENT,1278.225,0.0008,12329761.05,15760208818.14
1,ildem20,Muhiye,Ülker,gulensahigul@example.org,(411)136 8907,1963,8,7,F,856,Toktuğ Rest Trace,Toddton,Ohio,41688,KR,36.20389,127.08472,GB33DOEX08740239629472,089372953,671486401.891155,KRW,61.251.180.76,80.09259662974688,-48.467503164971816,Rerum a cum tenetur veniam.,danisgul,Merva,Karadeniz,nhammond@example.org,742 4 212,1979,3,28,NB,76672,Yılmaz Meadow Canyon,Mansızville,Idaho,70712,MX,22.49396,-105.36369,TR464721963760477660261525,015040039,630083032.682071,MXN,63.121.59.163,45.18497637689106,-90.36953738318961,State fast forget church compare.,cf25664b-d71d-4539-b9ba-22c1bdd70da6,1548894304.838314,1749639174.085763,FAILED,PAYMENT,0.0176,56.954,17227859.74,303210.33
1,yalazabay79,Stephanie,Jackson,bsmith@example.com,+90(876)7446584,1990,4,1,M,315,Hançer Landing Roads,Peggymouth,Vermont,83862,NL,52.26083,7.00417,GB08KXRG21874421921710,090465451,1465773276.717659,EUR,18.209.134.69,79.51078757314798,80.66652243007319,Magni mollitia occaecati doloribus porro illo.,imrenakgunduz,Larry,Rowe,donnavillanueva@example.net,160 1 120,1966,11,22,M,247,Taçnur Groves Estates,Coxmouth,Maine,99008,TR,39.22493,42.85693,TR489575757375785134024208,082640475,974813064.653459,TRY,53.74.29.88,73.84200184868796,99.34997422416991,Scientist nation thought.,ae92b945-64ac-44cd-8c00-95223b74f85c,1508397353.542166,1749639173.089157,FAILED,PAYMENT,6.0859,0.1643,19194585.52,116816328.02
0,jennyfrancis,Börteçin,İhsanoğlu,yurdanurmansiz@example.org,844.556.7627,1947,7,16,M,810,Çamurcuoğlu Garden Lights,Oruçberg,Montana,48009,TR,38.615502899999996,27.4255716,TR125931586772990747395461,125110862,883138311.44962,TRY,194.190.44.17,39.434074336134415,28.356739645283067,Decision test dream early example standard full.,lauramccarty,David,Collins,angeladaniel@example.org,0979 685 22 76,1997,6,22,NB,45573,Carolyn Route Pines,Robertfort,Kentucky,80531,DE,53.59337,9.47629,GB29IJCQ07961260717730,086924553,1701230041.630133,EUR,122.107.88.48,53.090325575610905,10.279554275440239,Some house treat keep.,7923bf5a-94c3-42ea-a5fd-02aad55cbef5,1748939662.990145,1749639178.702883,PROCESSING,PAYMENT,0.1643,6.0859,11254147.75,1849056.48
0,scottlee,Taylor,Ertaş,robertscarlos@example.com,+90(481)013-8310x9566,1961,10,18,NB,82788,Gökperi View Hollow,New Akboğa,Illinois,84890,CA,42.8334,-80.38297,GB24URCX51101588115379,110306636,1350096822.956851,CAD,40.75.144.100,42.49199131089795,-80.04305176521422,Show near use point could box cause.,gdumanli,Serfinaz,Hood,sensoyalaz@example.com,0359-255 1909,1989,8,6,M,04959,Erksoy Court Road,West Cevale,Vermont,17460,FR,48.90982,2.45012,GB56QJTP21281872451992,102443840,921296070.119665,EUR,98.6.153.229,48.43413259779643,1.9148176528620928,Field recent nearly person physical role find myself.,cf79e20e-be75-486a-9f68-a40ef99487e3,1425273046.312466,1749639175.315279,COMPLETED,PAYMENT,0.642,1.5576,11496983.78,7381063.59
0,crystalbray,Samuel,Akçay,sayin13@example.org,+90(865)5885432,1953,11,20,F,619,Nelson Pines Crest,Ülkertown,Connecticut,30808,IN,21.59983,71.21169,GB85QNDR16701706554390,026289915,1249294426.801733,INR,50.207.107.193,31.528707110391395,102.04059829020584,Participant morning simple pass student.,ozbilek49,Amy,Smith,afranco@example.org,+90(565)152-7020x3720,1971,11,3,F,64016,Korkmazalp Viaduct Underpass,New Craigfurt,Nevada,33130,KR,37.65639,126.835,GB02QLXO43367856380808,048069595,1148788031.949692,KRW,210.86.186.81,52.10239797413678,-97.71008983566648,Like term evening poor I.,5ebc60cf-e5af-45a5-83de-87d15859b86c,1478231603.91883,1749639172.121913,FAILED,PAYMENT,16.0063,0.0625,14989105.34,239920116.8
0,raythomas,Christina,Aslan,ayduru97@example.com,001-235-575-3106x81581,1952,9,13,F,08828,Nural Manor Mountain,Lake Tansığ,Missouri,30555,TR,37.58105,29.26639,GB14ELGG27743702459219,031955535,985643524.798181,TRY,131.136.3.132,37.62334392708972,29.036887659314047,Repudiandae numquam deserunt quasi.,melissaryan,Âdem,Hayrioğlu,jamie04@example.org,8618604316,1965,5,22,M,32426,Douglas Valley Walks,Port Heatherland,Delaware,36156,ZA,-24.19436,29.00974,TR567361927508684225188872,018318645,624088628.459364,ZAR,188.248.159.16,-23.343869775388118,28.236949053362704,Girl air very project involve baby.,bb910b0a-e039-4a0a-8df9-fc1da4c4b1cf,1273668788.716326,1749639175.850292,FAILED,PAYMENT,2.7085,0.3692,17337227.31,46957880.17
0,eric44,Gregg,Eraslan,refikturk@example.net,737-964-1758,1993,12,12,M,01266,Cole Mountains Hollow,East Brandonchester,Rhode Island,15454,CN,37.73222,115.70111,TR801391312446152536404343,027012848,1631028111.920292,CNY,125.108.155.78,37.573600805464245,116.2674088124564,Increase exist grow toward.,uphillips,Shari,Arslan,johnclements@example.net,+90(643)000-4923x960,1999,8,2,M,746,Barbara Fords Park,Lake Armahanton,Delaware,03639,JP,35.06667,135.21667,TR353155409691829149269704,062348043,1320507002.255853,JPY,83.162.186.206,36.03638140915864,135.89907801072707,Know hit finish clearly. Even mission part image hospital.,a5b99c0b-5f28-49f8-bf3e-0957adacb06b,1642556802.421528,1749639178.727684,PENDING,PAYMENT,15.9404,0.0627,12949761.11,206424372.0
0,brownstacey,Ayaydın,Çetin,valenzuelaeric@example.net,001-895-858-7516,1981,10,29,M,1146,Sakarya Place Gardens,East Alisonville,Rhode Island,07893,IN,28.71271,77.656,GB56ZIFV00471060495163,028606004,1145860950.178237,INR,157.60.76.53,29.466252589186755,78.46187087160912,Temporibus debitis vel labore magnam reprehenderit ea.,temizkalakcay,Şide,Clark,jacqueline76@example.com,+90(217)259-0444x9938,1962,10,5,M,982,Akdeniz Pass Drive,Barsenport,New Jersey,33896,HK,22.37066,114.10479,GB17IRQV06736994452171,027431018,844789813.686466,HKD,149.150.206.22,21.558210936626764,113.64324026854486,Possimus hic odio voluptas.,108279ce-8497-4634-a7b7-38fcfaa9d7d3,1250534614.184497,1749639172.439439,COMPLETED,PAYMENT,0.1121,8.9242,10697540.61,1199194.3
0,tina12,Yesenia,Hayrioğlu,stephaniedowns@example.com,+90(661)8620244,1997,6,17,F,12338,Neal Mountain Forge,East Johntown,Louisiana,18428,BR,-28.44917,-52.2,TR893385448990741760347450,082114736,478006846.225553,BRL,90.238.3.241,-27.706328456590583,-51.83190074758932,Molestiae impedit minus vero.,sakaryaruhsat,Nakip,Gül,camurcuogluarifcan@example.org,03216889757,1946,11,15,F,042,Azettin Falls Trace,West Evan,North Carolina,56518,US,40.94065,-73.99681,GB73KKKA39641814815943,078352748,1511380107.772022,USD,195.121.177.202,41.8736996096157,-74.9323369411967,Inventore necessitatibus sit est natus neque.,0b673ca5-74b1-4828-891f-699bca70e15d,1626810220.559527,1749639178.813755,PENDING,PAYMENT,0.2585,3.8679,10817506.91,2796325.54
