FRAUD_FLAG,DEBITOR_USERNAME,DEBITOR_FIRST_NAME,DEBITOR_LAST_NAME,DEBITOR_EMAIL_ADDRESS,DEBITOR_PHONE_NUMBER,DEBITOR_BIRTH_YEAR,DEBITOR_BIRTH_MONTH,DEBITOR_BIRTH_DAY,DEBITOR_GENDER,DEBITOR_ADDR_BUILDING,DEBITOR_ADDR_STREET,DEBITOR_ADDR_CITY,DEBITOR_ADDR_STATE,DEBITOR_ADDR_ZIPCODE,DEBITOR_ADDR_COUNTRY,DEBITOR_GEO_LATITUDE,DEBITOR_GEO_LONGITUDE,DEBITOR_ACCOUNT_NUMBER,DEBITOR_BIC_CODE,DEBITOR_ACCOUNT_CREATE_TIMESTAMP,DEBITOR_CURRENCY,DEBITOR_IP_ADDRESS,DEBITOR_TOWER_LATITUDE,DEBITOR_TOWER_LONGITUDE,DEBITOR_COMMENT,CREDITOR_USERNAME,CREDITOR_FIRST_NAME,CREDITOR_LAST_NAME,CREDITOR_EMAIL_ADDRESS,CREDITOR_PHONE_NUMBER,CREDITOR_BIRTH_YEAR,CREDITOR_BIRTH_MONTH,CREDITOR_BIRTH_DAY,CREDITOR_GENDER,CREDITOR_ADDR_BUILDING,CREDITOR_ADDR_STREET,CREDITOR_ADDR_CITY,CREDITOR_ADDR_STATE,CREDITOR_ADDR_ZIPCODE,CREDITOR_ADDR_COUNTRY,CREDITOR_GEO_LATITUDE,CREDITOR_GEO_LONGITUDE,CREDITOR_ACCOUNT_NUMBER,CREDITOR_BIC_CODE,CREDITOR_ACCOUNT_CREATE_TIMESTAMP,CREDITOR_CURRENCY,CREDITOR_IP_ADDRESS,CREDITOR_TOWER_LATITUDE,CREDITOR_TOWER_LONGITUDE,CREDITOR_COMMENT,PAYMENT_ID,PAYMENT_INIT_TIMESTAMP,PAYMENT_LAST_UPDATE_TIMESTAMP,PAYMENT_STATUS,PAYMENT_TYPE,DEBITOR_CCY_CREDITOR_CCY_RATE,CREDITOR_CCY_DEBITOR_CCY_RATE,DEBITOR_AMOUNT,CREDITOR_AMOUNT
0,safakus,Şahdiye,Henry,gallagherbrandon@example.org,316 9 988,1955,5,23,F,104,Tammy Pass Causeway,Lake İslimestad,Wisconsin,03528,BR,-4.16694,-40.7475,GB12CPEU70430559316065,062635031,744626585.297177,BRL,163.34.204.60,-3.7801126588780294,-41.57974454757234,Beautiful challenge ball focus wall. Must water few book.,akcaygulce,Ülküdeş,Montgomery,alanalptarhan@example.com,(933)281-1039,1957,10,13,NB,7242,Alize Prairie Plains,Karadenizview,Missouri,30099,RU,53.37596,51.3452,TR277719048611603753222630,057474760,1179555961.158046,RUB,85.36.134.93,53.44634448897083,52.25713839047926,Cum assumenda eaque nostrum.,08dce0cd-7ae2-433e-826a-f48720d48c3d,1644273482.815731,1749639258.193562,FAILED,PAYMENT,18.0009,0.0556,17116005.85,308103509.71
0,victoriahancock,Carrie,Şama,elizabeth16@example.org,6322776368,1957,11,12,F,5984,Zinnure Lights Tunnel,New Irısstad,Washington,64112,GB,53.83333,-2.98333,GB54LMYE08335841513742,107367808,1185364113.125544,GBP,76.13.54.203,53.87182102295848,-3.3225407986700777,Feel phone explain great herself style white.,saksu,Alexandria,Çamurcuoğlu,hicksjonathan@example.org,0353-828 3872,1981,2,4,NB,275,Amanda Walks Plaza,New Christopherside,Washington,37203,CA,42.8334,-80.38297,GB27DPTD01840763535308,050785320,1597341013.389868,CAD,88.50.64.46,43.77902367799034,-81.10644949693864,Organization model foreign relate power pattern leg.,f8492900-2a98-4595-9104-026e5f41cd2e,1613123117.665414,1749639257.798661,PENDING,PAYMENT,1.7343,0.5766,14472058.65,25098891.32
0,ilalmisaksu,Lindsey,King,lfranco@example.org,889-813-1163x6881,2001,9,2,F,699,Gülder Harbors Curve,North Nesfe,Indiana,70535,ZA,-27.76952,30.79165,GB92UUFB09207497131341,085422195,1258405768.377545,ZAR,209.254.90.18,-28.476247759358994,31.696510175956586,Ad eum amet asperiores.,ihsanogluferinaz,Elnur,Smith,rojaskimberly@example.net,2892523648,1948,2,25,F,70813,Lerze Trace Center,South Feraye,Utah,59808,DE,50.64336,7.2278,TR850264089529852780274413,119150980,1651837991.613717,EUR,154.17.167.248,51.48043040180652,6.742296620809642,Standard why prevent form avoid.,344cf7d9-d2a2-493a-b1eb-3a2b33a0e39e,1702237250.336761,1749639256.549501,COMPLETED,PAYMENT,0.0607,16.4834,17682203.57,1073309.76
1,carriejohnson,Turabi,Güçlü,yamanemin@example.org,(914)489-1272,1981,11,27,NB,1298,Gilbert Station Highway,North Meganberg,Nebraska,96192,GB,53.00974,-3.05814,TR206010693053719129959518,052961168,1686635620.17144,GBP,173.193.32.153,53.13953802864446,-3.3165776626324943,Excepturi dolorem alias.,edgubayyilmaz,Nevise,Türk,michaelfarmer@example.net,055 4 518,1949,5,28,F,4962,Enes Branch Circle,South Scottmouth,Oklahoma,53671,ZA,-26.93366,29.24152,TR229549956586235677010069,018230558,1580614388.441522,ZAR,119.173.23.207,-26.359103474011256,28.244902320991432,Without security director at north.,b3f43d4c-c392-431d-9323-fc4672401779,1686639810.17144,1749639261.526721,PROCESSING,PAYMENT,18.3539,0.0545,22855984.77,419496458.87
1,iramirez,Katherine,Alvarez,vgonzalez@example.org,+90(490)504-5557x5268,1977,12,22,F,24829,Utkucan Spurs Circles,South Aylil,Minnesota,29499,BR,-22.97056,-46.99583,GB46KAFP86705520808218,046208455,1664169786.561779,BRL,104.30.129.4,-22.73082372927069,-47.80277261191075,Event according conference degree.,demirgurten,Heather,Thomas,melindahall@example.net,558-891-8757,1996,6,30,M,05984,Christopher Crossing Viaduct,Mançohaven,Delaware,15437,IN,12.04161,75.35927,GB10YUNX61319014827069,104708981,1323381542.22364,INR,140.156.209.94,12.020396817191092,75.86855336439677,Somebody million behavior. Option including fund.,61189b19-b4be-44e1-9f4b-0e5ffef0eb30,1664181127.561779,1749639258.433046,CANCELLED,PAYMENT,18.0735,0.0553,15271756.24,276014086.4
0,durmussami,Ümmahan,Manço,arobbins@example.net,+90(513)830-7012x021,1965,12,14,F,48948,Harris Lodge Bridge,East Jeremy,North Carolina,85759,MX,17.94979,-94.91386,TR074994649480806616623110,066518248,1171356683.456368,MXN,215.98.92.224,17.358009442039606,-94.64034350038813,Along up only color. Step significant if structure.,selcen66,Gökbudun,Thomas,ronalddavis@example.org,436.964.4236x29644,1981,8,22,NB,762,Brady Hill Forks,Gabrielfort,South Carolina,64396,CN,34.56861,105.89333,TR099709906568634572353978,045247831,936283792.098763,CNY,175.87.116.193,33.982365093825614,105.6152173487309,Vitae ullam exercitationem voluptate libero perferendis.,1bd508d6-4051-44e6-bc63-5016964387ae,1517308080.145162,1749639255.062042,PENDING,PAYMENT,0.3496,2.8605,11891270.81,4157188.28
1,colpan72,Steven,Sakarya,whardin@example.com,+90(921)7764415,1982,2,11,M,027,Garcia Mill Falls,Bryanborough,Washington,41226,DE,48.21644,9.02596,TR043865841100831394272482,021782860,1635749156.129766,EUR,138.152.96.0,48.847649278302036,9.042020887357737,Dolorem odit cupiditate doloribus. Provident quae cumque.,herdogan,Alpsü,Manço,sahil73@example.net,06105881292,1954,7,25,F,447,Ertaş Track Skyway,Mansızville,Colorado,98148,DE,48.73218,11.18709,GB44SFHL64130814988417,061214602,1349855439.710642,EUR,223.157.243.42,48.62528359578398,10.264140191608531,Important from threat increase.,e3a08a47-8681-4b76-b709-d0bfadfcd845,1635767157.129766,1749639258.3299,PENDING,PAYMENT,1.0,1.0,17797100.92,17797100.92
0,christinamaldonado,Mücellib,Zengin,dawn79@example.net,+90(114)674-0908x411,1951,6,19,M,78432,Bethany Oval Valley,East Tayyibe,Idaho,69129,MX,25.87972,-97.50417,TR743144828471058993370991,088540029,1686137167.815277,MXN,178.146.113.170,26.59921187197729,-96.92027811856588,Asperiores error eum in ratione impedit.,durdufaize,Gabriel,Stone,eileenodom@example.net,+90(607)382-4754x703,1993,5,16,M,29450,Thomas Road Views,Collierton,Hawaii,53036,GB,53.81667,-3.05,GB38DAFX44560746385099,039888811,1088724092.026405,GBP,63.25.67.231,53.48333992789423,-3.3529113226217193,Appear many authority or.,27d03dc5-6915-40bb-ab48-88f35b557c51,1686141757.815277,1749639261.241458,PENDING,PAYMENT,0.04,24.9898,24550598.46,982023.94
0,gyildirim,Kevin,Bennett,tylersimon@example.com,+90 (695) 8615214,1979,4,6,NB,44196,Reyes Spurs Lodge,Lake Yilmazside,Nebraska,24280,ZA,-26.93366,29.24152,TR765310286590364825005095,064512437,1076569682.62241,ZAR,36.139.251.185,-27.3535856976768,29.180833238164727,Deserunt deserunt asperiores labore quidem eligendi.,robertshort,William,Karadeniz,sandrastokes@example.net,355-818-1499,1982,10,7,NB,81587,Ferguson Stream Shore,Port Ağakişi,New Jersey,66636,RU,53.37596,51.3452,GB87JTHQ69394437031225,099283223,474140733.914173,RUB,216.244.230.79,53.67893357939138,51.06644303700269,Travel guess party call tend.,81639ad0-57aa-4aef-90d4-bd86ca441bdd,1598092952.682562,1749639254.218035,PROCESSING,PAYMENT,4.8253,0.2072,17748280.63,85640778.52
1,itevetoglu,Kevin,Griffin,mchambers@example.com,+1-907-496-0142,1966,12,24,M,482,Laura Center Court,Lake Yücelton,Washington,15007,DE,48.49144,9.20427,TR748136351613674391224759,072343180,1559972757.355401,EUR,76.75.208.225,49.43617995599534,10.011783685021886,Itaque eum dolor explicabo.,tranhenry,Lindsay,Smith,kevin41@example.org,+90(876)7322916,1994,1,1,M,0919,Aslan Port Inlet,Aksuport,Florida,74549,HK,22.37066,114.10479,TR386698075709627291556203,057916914,748954731.883437,HKD,21.30.81.206,21.40857574487905,113.16085821503187,Debitis minima ex corrupti libero ipsa.,7c8cdff8-c513-4a31-a753-652afb24627b,1559991727.355401,1749639261.038266,PENDING,PAYMENT,8.9484,0.1118,15540916.34,139066335.78
